address,network,netgroup,asn
12.34.98.148,ipv4,12.34.0.0/16,AS7018
192.146.137.44,ipv4,192.146.0.0/16,AS57672
2.15.0.253,ipv4,2.15.0.0/16,AS3215
23.94.96.134,ipv4,23.94.0.0/16,AS36352
34.241.94.237,ipv4,34.241.0.0/16,AS8987
2001:4644:fd2:0:af5a:d64f:55f:5b9f,ipv6,2001:4644::/32,AS30722
5.94.132.136,ipv4,5.94.0.0/16,AS30722
95.216.36.239,ipv4,95.216.0.0/16,AS24940
66.23.228.177,ipv4,66.23.0.0/16,AS19318
185.250.36.66,ipv4,185.250.0.0/16,AS51167
71.187.100.121,ipv4,71.187.0.0/16,AS701
185.243.218.106,ipv4,185.243.0.0/16,AS56655
157.230.1.157,ipv4,157.230.0.0/16,AS14061
142.93.200.9,ipv4,142.93.0.0/16,AS14061
134.65.193.149,ipv4,134.65.0.0/16,AS44486
62.209.210.3,ipv4,62.209.0.0/16,AS13036
2001:470:1f0a:89a::2,ipv6,2001:470:1000::/36,AS6939
77.100.20.178,ipv4,77.100.0.0/16,AS5089
18.117.156.158,ipv4,18.117.0.0/16,AS8987
2a01:4f9:3081:3453::2,ipv6,2a01:4f9::/32,AS24940
159.223.125.59,ipv4,159.223.0.0/16,AS14061
31.190.240.125,ipv4,31.190.0.0/16,AS24608
108.49.65.132,ipv4,108.49.0.0/16,AS701
217.70.188.132,ipv4,217.70.0.0/16,AS29169
46.173.227.76,ipv4,46.173.0.0/16,AS39857
81.35.228.232,ipv4,81.35.0.0/16,AS3352
77.111.57.109,ipv4,77.111.0.0/16,AS3212
185.248.24.45,ipv4,185.248.0.0/16,AS201814
2001:41d0:20b:ed00::,ipv6,2001:41d0::/32,AS16276
75.119.157.65,ipv4,75.119.0.0/16,AS51167
2a01:5a8:300:d52:1031:ae92:5e57:5b8f,ipv6,2a01:5a8::/32,AS3269
194.163.145.217,ipv4,194.163.0.0/16,AS51167
82.139.69.40,ipv4,82.139.0.0/16,AS12414
98.118.156.165,ipv4,98.118.0.0/16,AS701
71.36.122.129,ipv4,71.36.0.0/16,AS209
34.125.23.71,ipv4,34.125.0.0/16,AS396982
38.141.4.79,ipv4,38.141.0.0/16,AS174
18.177.241.6,ipv4,18.177.0.0/16,AS8987
72.94.165.198,ipv4,72.94.0.0/16,AS701
162.0.210.152,ipv4,162.0.0.0/16,AS22612
179.83.241.155,ipv4,179.83.0.0/16,AS18881
138.68.227.57,ipv4,138.68.0.0/16,AS14061
213.174.156.82,ipv4,213.174.0.0/16,AS39572
2400:6180:0:d0::626:8001,ipv6,2400:6180::/32,AS749
113.65.5.186,ipv4,113.65.0.0/16,AS4134
118.20.72.162,ipv4,118.20.0.0/16,AS4713
155.93.206.125,ipv4,155.93.0.0/16,AS37680
206.123.132.176,ipv4,206.123.0.0/16,AS212238
2409:8a00:bd:b90:2db9:5508:b221:fc27,ipv6,2409:8a00::/32,AS16276
